id,location,comment
668fe613e3b7f1000877e41a,muenster,reedu
66911effe3b7f100087f2886,muenster,reedu
6694eedde3b7f10008e1fe34,muenster,reedu
66aba3dbf5b1680007462b04,muenster,reedu
66b957fcee77e40008e8bd24,ber,reedu
66ba0bdcee77e400080a17c9,saopaulo,demo
66ba1f48ee77e40008299362,saopaulo,
66ba2030ee77e400082b159f,saopaulo,
66ba256aee77e4000833ace1,saopaulo,
66ba2627ee77e4000834ef37,saopaulo,
66ba2da5ee77e4000841326d,saopaulo,
66ba3915ee77e4000854547d,saopaulo,
66ba3ce1ee77e400085a92b0,saopaulo,
66ba3d83ee77e400085b9fa7,saopaulo,
66ba3df8ee77e400085c4fe6,saopaulo,
66ba3e03ee77e400085c6d2a,saopaulo,
66ba3e05ee77e400085c7259,saopaulo,
66ba3fdfee77e400085f7ef7,saopaulo,
66ba41fcee77e4000862eb9b,saopaulo,
66bccabdee77e400087c453b,saopaulo,
6723670649d0900007772c98,muenster,js
67226c1f49d0900007c783cf,muenster,
66fd22a71ccdcf0007a85d1a,saopaulo,
67052cc3060c350007c1b439,muenster,
671cd26b49d090000765f396,muenster,
67226d9c49d0900007ca1e35,muenster,
67226eb849d0900007cc0fc0,muenster,
6706919a060c350007044fcd,muenster,
671cd26f49d090000765f6cf,muenster,
66e82b3ac5e5390007048b9e,muenster,
67226da749d0900007ca343c,muenster,
67275f91df4645000765ae3e,muenster,uu
6723728149d090000789eed9,muenster,
6704fa8c060c350007705abb,muenster,
66fa76324607a600086bd6ac,muenster,no_tour
671cd23a49d090000765a538,muenster,
67226ee249d0900007cc6187,muenster,
67226dfc49d0900007cab6e7,muenster,
67226dac49d0900007ca3c0a,muenster,
67226e1b49d0900007cad5f1,muenster,
67226d9d49d0900007ca2197,muenster,
670692e7060c350007065e1c,muenster,
67226c2549d0900007c78c78,muenster,
67226d9d49d0900007ca1f6b,muenster,
67226db249d0900007ca4501,muenster,
67226d9249d0900007ca0000,muenster,
672278f149d0900007dfd6be,muenster,
68944d733a8dd7000757ac2b,wiesbaden,
6823790c0507960007d94cdb,wiesbaden,
682379cd0507960007daa47e,wiesbaden,
6824ff2ca28da700089891d6,wiesbaden,
682468379d05a00007634481,wiesbaden,
68270b0ba28da700082b8e35,wiesbaden,
683c346380be8a0007888817,wiesbaden,
682467c59d05a00007628371,wiesbaden,
682468109d05a0000762d86d,wiesbaden,
68272a1fa585b200078fb625,wiesbaden,
685aad40e3493500070df738,wiesbaden,
6823790b0507960007d941e2,wiesbaden,
682378ab0507960007d8bbaa,wiesbaden,
682379890507960007da19f8,wiesbaden,
6824682f9d05a00007632f6f,wiesbaden,
682378940507960007d896cc,wiesbaden,
68237ab80507960007dc2d8d,wiesbaden,
682467d79d05a00007629db3,wiesbaden,
682467e59d05a0000762adc7,wiesbaden,
6823949705079600070b38fd,wiesbaden,
6824698e9d05a0000765967d,wiesbaden,
682378a60507960007d8b443,wiesbaden,
682467be9d05a0000762779e,wiesbaden,
682467d29d05a00007629666,wiesbaden,
6823792d0507960007d99129,wiesbaden,
68237c230507960007def452,wiesbaden,
682468f19d05a00007648947,wiesbaden,
688a0c0d86d4ca00082df9b6,wiesbaden,
682378890507960007d884c8,wiesbaden,
682467d89d05a00007629f0b,wiesbaden,
683eca0816e82900078ab5b9,wiesbaden,
6823799d0507960007da359f,wiesbaden,
68237a520507960007db8b75,wiesbaden,
682378d30507960007d8f183,wiesbaden,
682468419d05a000076357f2,wiesbaden,
682467bf9d05a000076278da,wiesbaden,
6835ff1669936b0008c585e6,arnsberg,
683f45bf16e8290007618866,arnsberg,
6835fcd069936b0008c17ac0,arnsberg,
6835fda869936b0008c2fe9f,arnsberg,
688a0bc986d4ca00082daf6e,arnsberg,
683ec55e16e829000782c046,arnsberg,
687f671ff31f3c0008e77506,arnsberg,
6835fcac69936b0008c14c7b,arnsberg,
6835fc7e69936b0008c10641,arnsberg,
685d35da7d8bc7000788dd97,greifswald,
68949245deb39c0008692b3f,greifswald,
68949057deb39c00086639e9,greifswald,
685d35e07d8bc7000788e757,greifswald,
685d35c37d8bc7000788b6ea,greifswald,
685d35b27d8bc70007889e7c,greifswald,
686e66a45e06c1000822def5,greifswald,
6811017fbd05e20007a53be2,muenster,
6811012ebd05e20007a4b46c,muenster,
68160f9ef81a430007a40b40,muenster,
6816423cf81a430007fdb13b,muenster,
68190a9e92b9f50007afba5e,muenster,
68766918ed0e8400076d8fd7,muenster,
6811012bbd05e20007a4b03c,muenster,
68110109bd05e20007a48159,muenster,
6811010ebd05e20007a4895f,muenster,
6810cb72bd05e20007493770,muenster,
68110126bd05e20007a4a9f4,muenster,
681bb0804c665e0007bb6084,muenster,
